Name;Width;Height;Cx;Cy;Cz;Nx;Ny;Nz;Dip;Dip dir;
65/231;11.8052;4.79233;23.7007;-15.2491;160.156;-0.713902;-0.559667;0.420852;65.1116;231.905;
77/039;8.10068;2.04532;6.11193;7.25551;172.773;0.624016;0.748675;0.223806;77.0673;39.811;
80/073;3.4434;3.41749;2.33578;2.83112;171.621;-0.947183;-0.272402;-0.169342;80.2504;73.9552;
81/215;2.48307;2.41397;-3.02623;7.56042;172.052;-0.571913;-0.807784;0.142832;81.7882;215.299;
64/233;2.78509;3.79266;-20.2633;13.4809;172.07;-0.804747;-0.587185;0.0871558;85;233.884;
79/031;2.07333;2.12687;-17.6304;11.1405;171.844;-0.511328;-0.841659;-0.173648;80;31.2797;
80/045;6.08808;2.10099;-16.454;11.8982;173.078;-0.719227;-0.69455;-0.0174523;89;46;
85/041;2.10888;4.11834;-9.1495;11.7795;172.794;0.656946;0.749761;0.0792516;85.4544;41.225;
76/220;1.75156;2.76298;-8.00444;9.9968;172.652;0.625583;0.745541;-0.229817;76.7137;220;
89/211;1.46392;2.46707;-8.33219;9.1437;173.11;0.523131;0.852253;-3.72529e-08;90;211.542;
84/226;1.69531;1.69256;-8.18916;7.15954;172.884;-0.720496;-0.68796;0.0871558;85;226.323;
84/032;5.66303;6.64258;-29.3255;17.1546;173.782;0.542481;0.835535;0.0871558;85;32.9941;
80/240;2.65522;6.62064;-33.57;17.559;171.984;-0.860761;-0.47847;0.173648;80;240.932;
85/217;2.59232;5.50057;-26.7188;18.5228;171.349;0.607328;0.791302;-0.0706636;85.9479;217.506;
79/070;2.89309;4.88791;-23.8783;15.9085;171.027;0.925516;0.336549;0.173648;80;70.017;
79/214;2.48355;2.44997;-19.0161;28.6496;172.514;-0.559542;-0.810407;0.173648;80;214.623;
89/044;2.50622;2.32181;-19.0055;27.6451;172.266;-0.701608;-0.712562;-4.47035e-08;90;44.5562;
85/060;4.20396;4.03399;-30.3272;27.7676;173.056;0.8668;0.491305;0.0853126;85.106;60.4553;
87/230;2.92247;2.85493;6.64036;-0.0230484;170.793;-0.765582;-0.642399;0.0349046;87.9997;230;
71/230;6.15866;3.06777;8.6077;-0.146;169.456;-0.81882;-0.472746;0.325559;71.0005;240;
60/048;2.5932;2.5567;9.90582;1.30383;169.523;-0.649393;-0.572964;-0.5;60;48.5778;
79/242;2.96717;2.93401;-15.8074;9.05181;171.898;-0.870907;-0.459747;0.173648;80;242.171;
79/230;3.53508;2.49027;-12.0607;9.0634;172.585;-0.761848;-0.639266;0.104528;84;230;
89/243;3.22007;3.12853;-29.9917;20.596;172.636;-0.893205;-0.449311;0.0174524;89;243.296;
84/044;7.06747;7.02717;-17.3395;22.1352;170.272;0.704416;0.704416;0.0871558;85;45;
85/069;7.10616;7.06691;-15.8027;22.2861;170.747;0.937404;0.341187;0.0697565;86;70;
82/030;4.55067;4.54393;-7.51738;12.0695;172.026;0.499353;0.855666;0.135951;82.1864;30.2672;
60/225;4.14724;4.43117;-8.72618;14.6559;172.013;0.613775;0.610966;-0.5;60;225.131;
89/053;3.50272;3.55372;-12.1816;14.3312;170.736;-0.799064;-0.601009;-0.0168897;89.0322;53.0517;
84/210;4.01946;4.0358;-36.8245;32.1898;172.691;-0.498097;-0.86273;0.0871558;85;210;
84/210;4.86126;4.81206;-45.6363;17.2;170.738;0.4981;0.862735;-0.0871563;85;210;
60/270;5.22932;3.20533;-51.9;59.7764;169.872;-0.913547;-0.406735;1.74443e-06;89.9999;246;
75/210;5.22677;6.12403;-49.8582;54.2298;171.852;-0.656263;-0.75433;0.0174524;89;221.023;
74/035;4.06366;6.0324;-44.8042;50.8255;168.991;0.470173;0.882402;0.0174524;89;28.0502;
67/081;2.71105;5.73674;-20.852;28.1921;169.853;0.863901;0.466124;0.190811;78.9999;61.6506;
64/217;3.73319;3.7397;-13.236;8.06594;170.959;-0.609471;-0.792808;-2.98023e-08;90;37.5513;
58/231;8.12765;3.08829;8.72129;2.83577;171.081;0.5;0.866026;-4.37114e-08;90;210;
62/047;7.67659;6.52455;23.1517;-1.6623;171.407;-0.680871;-0.732404;6.28224e-07;90;222.912;
87/235;3.28158;6.27787;2.14619;8.11325;172.643;0.728242;0.685253;-4.37094e-08;90;226.742;
56/054;2.50387;2.46368;-5.0478;6.9092;171.173;0.750629;0.660493;0.0174524;89;48.6548;
56/264;2.35153;3.33954;-19.0262;11.6633;172.466;-0.963573;-0.252846;0.0871558;85;255.297;
79/265;3.43629;3.41525;-21.6393;13.0809;170.764;-0.87447;-0.484727;-0.0174521;89;61;
77/012;11.6198;4.65423;-41.7957;18.8963;171.951;0.446696;0.894089;0.0326686;88.1279;26.5472;
70/010;3.11568;3.12786;-44.6683;37.9282;172.9;0.42101;0.902859;0.0871558;85;25;
75/222;3.76363;3.76896;20.3751;-5.36398;160.909;-0.416557;-0.907604;0.052339;86.9998;204.653;
82/069;2.32708;2.25136;0.771123;8.15994;171.998;0.926887;0.353494;0.126187;82.7507;69.1243;
