NAME;X;Y;Z;
PLANE1;526867.7981;6484932.354735;160.156;
PLANE1;526879.6033000001;6484932.354735;160.156;
PLANE1;526879.6033000001;6484937.147065001;160.156;
PLANE1;526867.7981;6484937.147065001;160.156;
PLANE2;526868.73801;6484948.655912;173.178;
PLANE2;526874.59139;6484948.655912;173.178;
PLANE2;526874.59139;6484951.076892001;173.178;
PLANE2;526868.73801;6484951.076892001;173.178;
PLANE3;526858.5434099999;6484951.03862;172.018;
PLANE3;526863.27639;6484951.03862;172.018;
PLANE3;526863.27639;6484953.72086;172.018;
PLANE3;526858.5434099999;6484953.72086;172.018;
PLANE4;526852.06159;6484956.232849999;172.773;
PLANE4;526860.16227;6484956.232849999;172.773;
PLANE4;526860.16227;6484958.27817;172.773;
PLANE4;526852.06159;6484958.27817;172.773;
PLANE5;526850.61408;6484951.122375;171.621;
PLANE5;526854.05748;6484951.122375;171.621;
PLANE5;526854.05748;6484954.539865;171.621;
PLANE5;526850.61408;6484954.539865;171.621;
PLANE6;526845.732235;6484956.353435;172.052;
PLANE6;526848.2153050001;6484956.353435;172.052;
PLANE6;526848.2153050001;6484958.767405;172.052;
PLANE6;526845.732235;6484958.767405;172.052;
PLANE7;526849.85475;6484955.82683;173.413;
PLANE7;526854.32089;6484955.82683;173.413;
PLANE7;526854.32089;6484960.1986299995;173.413;
PLANE7;526849.85475;6484960.1986299995;173.413;
PLANE8;526843.000165;6484955.075765;171.541;
PLANE8;526847.899695;6484955.075765;171.541;
PLANE8;526847.899695;6484957.057375;171.541;
PLANE8;526843.000165;6484957.057375;171.541;
PLANE9;526828.2441550001;6484961.48457;172.07;
PLANE9;526831.029245;6484961.48457;172.07;
PLANE9;526831.029245;6484965.27723;172.07;
PLANE9;526828.2441550001;6484965.27723;172.07;
PLANE10;526831.332935;6484960.077064999;171.844;
PLANE10;526833.406265;6484960.077064999;171.844;
PLANE10;526833.406265;6484962.203935;171.844;
PLANE10;526831.332935;6484962.203935;171.844;
PLANE11;526831.50196;6484960.847705;173.078;
PLANE11;526835.5900399999;6484960.847705;173.078;
PLANE11;526835.5900399999;6484962.948694999;173.078;
PLANE11;526831.50196;6484962.948694999;173.078;
PLANE12;526839.79606;6484959.72033;172.794;
PLANE12;526841.9049399999;6484959.72033;172.794;
PLANE12;526841.9049399999;6484963.83867;172.794;
PLANE12;526839.79606;6484963.83867;172.794;
PLANE13;526841.11978;6484958.61531;172.652;
PLANE13;526842.87134;6484958.61531;172.652;
PLANE13;526842.87134;6484961.378289999;172.652;
PLANE13;526841.11978;6484961.378289999;172.652;
PLANE14;526840.93585;6484957.910165;173.11;
PLANE14;526842.39977;6484957.910165;173.11;
PLANE14;526842.39977;6484960.377235;173.11;
PLANE14;526840.93585;6484960.377235;173.11;
PLANE15;526840.963185;6484956.31326;172.884;
PLANE15;526842.6584950001;6484956.31326;172.884;
PLANE15;526842.6584950001;6484958.005820001;172.884;
PLANE15;526840.963185;6484958.005820001;172.884;
PLANE16;526817.842985;6484963.83331;173.782;
PLANE16;526823.5060149999;6484963.83331;173.782;
